0.jpg	あ
1.jpg	キャーッ
10.jpg	ああいうのはきっと痴漢か変態ねっ！
1000.jpg	ライトを消してちらばれっ
10000.jpg	え？え？
100000.jpg	作戦実行中
100002.jpg	～～～～～っ！！
100003.jpg	大丈夫だよ！！怒らないから！！
100004.jpg	戻っておいで！ね！？
100005.jpg	その事件があってから・・・
100006.jpg	わかったわかった
100008.jpg	ああっごめんごめん！！
100009.jpg	どうしたノラブチ
10001.jpg	よし全員そろったな
100010.jpg	これ以上近付かないから！
100011.jpg	お！
100012.jpg	怒らない怒らない！だいじょうぶだいじょうぶ！
100013.jpg	にゃあああーーっ
100014.jpg	そして１ヶ月後――
100015.jpg	あああ・・・・・・
100016.jpg	お・・・・・・怒ってるのか？喜んでるのか？どっちだ！？
100017.jpg	ぐにゃああ
100018.jpg	いででででで
100019.jpg	触ったらまた引っかかれるかな・・・・・・
10002.jpg	なんとかしないと！
100020.jpg	・・・・・・触れるな
100021.jpg	ぐにゃああああっ
100023.jpg	あああああ・・・・・・
100024.jpg	よしよしよし！
100025.jpg	触っても大丈夫かな・・・・・・
100027.jpg	甘えてる甘えてる！
100028.jpg	にゃあああ・・・
100029.jpg	ぐにゃ・・・
10003.jpg	さすがにいせいがいい！
100030.jpg	考えてみると・・・
100031.jpg	にゃ・・・
100032.jpg	安心おし・・・・・・誰もお前のこといじめないから・・・
100033.jpg	おそらく・・・人間に甘えたことなどこれまで一度もなかったのでしょう
100034.jpg	はたして成功するでしょうか？
100035.jpg	いでででで！！
100036.jpg	好きなだけ甘えていいんだからな・・・・・・
100038.jpg	期限は厳しい冬がやって来るまで
100039.jpg	木枯らしが吹き始めた昨年の秋・・・・・・
10004.jpg	これ以上体育館で授業なんかできるか！
100040.jpg	ノラブチ“うちのコ”化３段計画が発動されました
100041.jpg	ノラのボス猫のノラブチをどうにかしてうちのコにしてしまおうという計画です
100042.jpg	かわいそうな奴だよな・・・・・・
100043.jpg	人間に飼われたことのないノラ猫には・・・・・・
100044.jpg	家の中に置いてみました
100045.jpg	だめか・・・・・・
100046.jpg	お平気だ
100047.jpg	よいしょよいしょ
100048.jpg	第１段階触れるようになるまで人間に馴れさせる
100049.jpg	ぐにゃぁぁぁっ
100050.jpg	おいでおいで！こっちはあったかいよ！
100051.jpg	お・・・・・・重い・・・・・・
100052.jpg	ただし気を抜くと・・・・・・
100053.jpg	ふ～～～っ
100054.jpg	またバリバリに引っかかれそうだな・・・・・・
100055.jpg	う～ん先が思いやられるなあ・・・・・・
100056.jpg	ふにゃあ～～～っ
100057.jpg	ここまでは一応完了しています
100058.jpg	・・・・・・分かってないっぽいな
100059.jpg	第２段階家の中まで入って来るようにする
10006.jpg	はあ？
100060.jpg	よいしょ！
100061.jpg	・・・・・・抱っこしても大丈夫かな
100062.jpg	人間の言葉は通じないのです
100063.jpg	廠しい冬はすぐそこです
100064.jpg	入って来ていいんだよ’！
100065.jpg	またさすらいのノラに戻っちゃうのはかわいそうすぎる
100066.jpg	３段計画頓挫中・・・・・・
100068.jpg	プリン
100069.jpg	せっかくここまで人間を信頼したのに・・・・・・
10007.jpg	クックック
100070.jpg	気長に馴れさせるしかないか
100073.jpg	お前も入っといで！
100075.jpg	ここが自分の家なんだと理解できるまで・・・・・・
100076.jpg	ナナ
100077.jpg	でもあんまりのんびりしてると・・・・・・
100079.jpg	とりあえずダンボール箱で譲歩
10008.jpg	わ〜!!
100080.jpg	でも・・・・・・退院してきたらおそらくもう二度と戻っては来ないでしょう
100083.jpg	ああっ待ってノラブチ！
100084.jpg	ノラブチ！
100085.jpg	わかるか？おいで・・・・・・ノラブチ・・・・・・
100087.jpg	ノ・・・・・・ノラブチ！？
100088.jpg	待ってノラブチ！出て行かなくてもいいんだよ！
100089.jpg	はっ
10009.jpg	へたに動くと怪しまれる！じっとしてて
100090.jpg	ここはお前の家なんだよ！ここにいていいんだから！
100092.jpg	ぐにゃあ・・・・・・・・・
100093.jpg	ぐにゃ～～～あ！
100094.jpg	よしよしよし・・・・・・
